move_number,move,bracket
1,d4,High Elo
2,e6,High Elo
3,Nf3,High Elo
4,d5,High Elo
5,c4,High Elo
6,Nf6,High Elo
7,cxd5,High Elo
8,exd5,High Elo
9,Nc3,High Elo
10,c6,High Elo
