move_number,move,bracket
1,d4,Low Elo
2,e6,Low Elo
3,Nf3,Low Elo
4,d5,Low Elo
5,c4,Low Elo
6,Nf6,Low Elo
7,cxd5,Low Elo
8,exd5,Low Elo
9,Nc3,Low Elo
10,c6,Low Elo
