case:concept:name,concept:name,time:timestamp,Bracket,Opening
High_Elo_Van't_Kruijs_Opening_31213,Nc6,2025-04-01 12:00:03,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31213,a3,2025-04-01 12:00:04,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31213,d5,2025-04-01 12:00:05,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31213,d3,2025-04-01 12:00:06,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31213,e5,2025-04-01 12:00:07,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31213,Nf3,2025-04-01 12:00:08,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31213,f5,2025-04-01 12:00:09,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31214,e3,2025-04-01 12:00:00,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31214,c6,2025-04-01 12:00:01,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31214,d4,2025-04-01 12:00:02,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31214,d5,2025-04-01 12:00:03,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31214,Nc3,2025-04-01 12:00:04,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31214,Nf6,2025-04-01 12:00:05,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31214,e4,2025-04-01 12:00:06,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31214,Bg4,2025-04-01 12:00:07,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31214,f3,2025-04-01 12:00:08,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31214,Bh5,2025-04-01 12:00:09,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31215,e3,2025-04-01 12:00:00,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31215,d5,2025-04-01 12:00:01,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31215,d4,2025-04-01 12:00:02,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31215,c6,2025-04-01 12:00:03,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31215,c3,2025-04-01 12:00:04,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31215,Nf6,2025-04-01 12:00:05,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31215,f4,2025-04-01 12:00:06,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31215,Bf5,2025-04-01 12:00:07,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31215,Nf3,2025-04-01 12:00:08,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31215,Nbd7,2025-04-01 12:00:09,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31216,e3,2025-04-01 12:00:00,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31216,Nc6,2025-04-01 12:00:01,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31216,b3,2025-04-01 12:00:02,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31216,d5,2025-04-01 12:00:03,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31216,Bb2,2025-04-01 12:00:04,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31216,e6,2025-04-01 12:00:05,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31216,Bb5,2025-04-01 12:00:06,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31216,g6,2025-04-01 12:00:07,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31216,Bxc6+,2025-04-01 12:00:08,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31216,bxc6,2025-04-01 12:00:09,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31217,e3,2025-04-01 12:00:00,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31217,g6,2025-04-01 12:00:01,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31217,a3,2025-04-01 12:00:02,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31217,Bg7,2025-04-01 12:00:03,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31217,Be2,2025-04-01 12:00:04,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31217,Nf6,2025-04-01 12:00:05,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31217,d3,2025-04-01 12:00:06,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31217,O-O,2025-04-01 12:00:07,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31217,h4,2025-04-01 12:00:08,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31217,d5,2025-04-01 12:00:09,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31218,e3,2025-04-01 12:00:00,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31218,d5,2025-04-01 12:00:01,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31218,d4,2025-04-01 12:00:02,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31218,Nf6,2025-04-01 12:00:03,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31218,Bb5+,2025-04-01 12:00:04,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31218,c6,2025-04-01 12:00:05,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31218,Ba4,2025-04-01 12:00:06,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31218,Bg4,2025-04-01 12:00:07,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31218,Ne2,2025-04-01 12:00:08,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31218,e6,2025-04-01 12:00:09,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31219,e3,2025-04-01 12:00:00,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31219,e6,2025-04-01 12:00:01,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31219,b3,2025-04-01 12:00:02,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31219,Qe7,2025-04-01 12:00:03,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31219,Bb2,2025-04-01 12:00:04,High Elo,Van't_Kruijs_Opening
