move_number,move,bracket
1,e3,High Elo
2,e5,High Elo
3,d4,High Elo
4,e4,High Elo
5,c4,High Elo
6,Nf6,High Elo
7,Nc3,High Elo
8,Bb4,High Elo
9,Ne2,High Elo
10,O-O,High Elo
