move_number,move,bracket
1,e3,Low Elo
2,e5,Low Elo
3,d4,Low Elo
4,e4,Low Elo
5,c4,Low Elo
6,Nf6,Low Elo
7,Nc3,Low Elo
8,Bb4,Low Elo
9,Ne2,Low Elo
10,O-O,Low Elo
