WhiteElo,BlackElo,Result,Moves,OpeningName
2141,2074,1-0,"['d4', 'c5', 'e3', 'cxd4', 'exd4', 'd5', 'f4', 'Nc6', 'c3', 'Nf6']",Benoni Defense: Old Benoni
2049,2033,1-0,"['d4', 'c5', 'c4', 'e6', 'e3', 'd5', 'cxd5', 'exd5', 'dxc5', 'Bxc5']",Benoni Defense: Old Benoni
1917,1966,1-0,"['d4', 'c5', 'd5', 'd6', 'e4', 'e6', 'Bb5+', 'Bd7', 'Bd3', 'b6']",Benoni Defense: Old Benoni
2069,2068,0-1,"['d4', 'c5', 'c4', 'd5', 'dxc5', 'dxc4', 'e4', 'Qa5+', 'Nc3', 'Qxc5']",Benoni Defense: Old Benoni
2278,2235,0-1,"['d4', 'c5', 'Bf4', 'cxd4', 'Nf3', 'Nc6', 'Nxd4', 'd6', 'Nxc6', 'bxc6']",Benoni Defense: Old Benoni
2033,2118,0-1,"['d4', 'c5', 'd5', 'd6', 'Nc3', 'a6', 'e4', 'g6', 'f4', 'Bg7']",Benoni Defense: Old Benoni
2084,2124,1-0,"['d4', 'c5', 'e3', 'e6', 'c4', 'Nf6', 'Nc3', 'cxd4', 'exd4', 'd5']",Benoni Defense: Old Benoni
1809,1830,1-0,"['d4', 'c5', 'Nf3', 'cxd4', 'Nc3', 'dxc3', 'bxc3', 'Nc6', 'Bb2', 'e5']",Benoni Defense: Old Benoni
2002,1991,0-1,"['d4', 'c5', 'c3', 'd5', 'e3', 'Nc6', 'Nf3', 'Bg4', 'Be2', 'e6']",Benoni Defense: Old Benoni
2084,2062,1-0,"['d4', 'c5', 'c4', 'e6', 'd5', 'exd5', 'cxd5', 'd6', 'Nc3', 'Nf6']",Benoni Defense: Old Benoni
2268,2391,0-1,"['d4', 'c5', 'd5', 'd6', 'c4', 'Nf6', 'Nc3', 'g6', 'e4', 'Bg7']",Benoni Defense: Old Benoni
2102,2212,1-0,"['d4', 'c5', 'e4', 'cxd4', 'c3', 'dxc3', 'Nxc3', 'e6', 'Nf3', 'Nc6']",Benoni Defense: Old Benoni
1982,1983,1-0,"['d4', 'c5', 'e3', 'cxd4', 'Qxd4', 'Nc6', 'Qd1', 'g6', 'Bd3', 'Bg7']",Benoni Defense: Old Benoni
2243,2221,1-0,"['d4', 'c5', 'c3', 'cxd4', 'cxd4', 'd5', 'Nc3', 'Nf6', 'Nf3', 'e6']",Benoni Defense: Old Benoni
1870,1897,1-0,"['d4', 'c5', 'd5', 'd6', 'c4', 'Nf6', 'Nc3', 'Bf5', 'e4', 'Nxe4']",Benoni Defense: Old Benoni
1842,1840,1-0,"['d4', 'c5', 'c4', 'cxd4', 'Qxd4', 'Nc6', 'Qd1', 'g6', 'Nf3', 'Bg7']",Benoni Defense: Old Benoni
2193,2262,0-1,"['d4', 'c5', 'e4', 'cxd4', 'c3', 'dxc3', 'Nxc3', 'Nc6', 'Bc4', 'e6']",Benoni Defense: Old Benoni
2192,2000,1-0,"['d4', 'c5', 'c4', 'cxd4', 'Qxd4', 'Nc6', 'Qd1', 'e5', 'Nf3', 'e4']",Benoni Defense: Old Benoni
2190,2153,0-1,"['d4', 'c5', 'd5', 'd6', 'c4', 'e6', 'Nc3', 'exd5', 'cxd5', 'Nf6']",Benoni Defense: Old Benoni
2302,2276,0-1,"['d4', 'c5', 'd5', 'g6', 'c4', 'Bg7', 'e4', 'd6', 'Be2', 'e6']",Benoni Defense: Old Benoni
2543,1958,1-0,"['d4', 'c5', 'Bf4', 'cxd4', 'Nf3', 'Nc6', 'c3', 'e5', 'Nxe5', 'dxc3']",Benoni Defense: Old Benoni
2104,2118,0-1,"['d4', 'c5', 'c4', 'cxd4', 'Nf3', 'e5', 'Bd2', 'Nc6', 'Na3', 'd5']",Benoni Defense: Old Benoni
1891,1905,0-1,"['d4', 'c5', 'Nf3', 'cxd4', 'Nxd4', 'Nc6', 'Nf3', 'e5', 'e4', 'Nf6']",Benoni Defense: Old Benoni
2317,2328,0-1,"['d4', 'c5', 'Nf3', 'cxd4', 'Qxd4', 'Nf6', 'Qh4', 'd6', 'Nc3', 'Bf5']",Benoni Defense: Old Benoni
2227,2024,1/2-1/2,"['d4', 'c5', 'Nc3', 'cxd4', 'Qxd4', 'Nc6', 'Qd1', 'Nf6', 'Bf4', 'g6']",Benoni Defense: Old Benoni
