move_number,move,bracket
1,d4,High Elo
2,Nf6,High Elo
3,e3,High Elo
4,e6,High Elo
5,Be2,High Elo
6,Be7,High Elo
7,Nf3,High Elo
8,d5,High Elo
9,O-O,High Elo
10,O-O,High Elo
