move_number,move,bracket
1,d4,High Elo
2,g6,High Elo
3,Nc3,High Elo
4,Bg7,High Elo
5,e4,High Elo
6,d5,High Elo
7,e5,High Elo
8,f6,High Elo
9,f4,High Elo
10,Nh6,High Elo
