move_number,move,bracket
1,d4,Low Elo
2,d5,Low Elo
3,Bf4,Low Elo
4,Nf6,Low Elo
5,e3,Low Elo
6,e6,Low Elo
7,Nf3,Low Elo
8,c5,Low Elo
9,Nbd2,Low Elo
10,Qb6,Low Elo
