WhiteElo,BlackElo,Result,Moves,OpeningName
1033,1001,0-1,"['e4', 'd5', 'e5', 'e6', 'd4', 'c6', 'c3', 'Ne7', 'Bg5', 'Nd7']",Scandinavian Defense
953,820,0-1,"['e4', 'd5', 'Bd3', 'dxe4', 'Bxe4', 'Qd4', 'Nc3', 'e6', 'Nge2', 'Qb6']",Scandinavian Defense
1105,1123,0-1,"['e4', 'd5', 'e5', 'e6', 'd4', 'Nc6', 'Nf3', 'Bb4+', 'Nc3', 'Bxc3+']",Scandinavian Defense
1009,876,1-0,"['e4', 'd5', 'e5', 'd4', 'Bc4', 'e6', 'Nf3', 'Nc6', 'd3', 'f6']",Scandinavian Defense
940,977,1-0,"['e4', 'd5', 'Nc3', 'd4', 'Nb5', 'a6', 'Na3', 'e5', 'Nc4', 'f6']",Scandinavian Defense
908,791,0-1,"['e4', 'd5', 'e5', 'e6', 'd4', 'Nc6', 'Nf3', 'f6', 'exf6', 'Nxf6']",Scandinavian Defense
916,923,0-1,"['e4', 'd5', 'd3', 'dxe4', 'Nc3', 'Bf5', 'dxe4', 'Qxd1+', 'Kxd1', 'Bg4+']",Scandinavian Defense
1121,1155,0-1,"['e4', 'd5', 'c4', 'dxe4', 'c5', 'Nc6', 'Bc4', 'Bf5', 'g4', 'Bg6']",Scandinavian Defense
707,1017,0-1,"['e4', 'd5', 'f3', 'dxe4', 'fxe4', 'Nf6', 'e5', 'Bg4', 'Be2', 'Bxe2']",Scandinavian Defense
967,873,1-0,"['e4', 'd5', 'exd5', 'e6', 'dxe6', 'Bxe6', 'Nf3', 'Nc6', 'b3', 'Ne5']",Scandinavian Defense
970,948,0-1,"['e4', 'd5', 'e5', 'e6', 'd4', 'f6', 'f4', 'fxe5', 'fxe5', 'Nc6']",Scandinavian Defense
811,851,1-0,"['e4', 'd5', 'e5', 'd4', 'f4', 'Nc6', 'Nf3', 'Bg4', 'h3', 'Bh5']",Scandinavian Defense
1038,1019,0-1,"['e4', 'd5', 'e5', 'd4', 'd3', 'f6', 'Nf3', 'c5', 'c3', 'fxe5']",Scandinavian Defense
1136,1120,0-1,"['e4', 'd5', 'e5', 'd4', 'Nf3', 'c5', 'Bc4', 'e6', 'c3', 'Nc6']",Scandinavian Defense
1018,1022,0-1,"['e4', 'd5', 'e5', 'Nc6', 'd4', 'f6', 'exf6', 'gxf6', 'Nf3', 'Bg4']",Scandinavian Defense
1102,1145,1-0,"['e4', 'd5', 'f3', 'dxe4', 'fxe4', 'e5', 'Bc4', 'Nf6', 'Nf3', 'g6']",Scandinavian Defense
897,1107,0-1,"['e4', 'd5', 'Nc3', 'd4', 'Nce2', 'Nc6', 'd3', 'e5', 'Nf3', 'Bg4']",Scandinavian Defense
861,808,1-0,"['e4', 'd5', 'Nc3', 'd4', 'Nd5', 'e5', 'Nf3', 'c6', 'Nxe5', 'Be6']",Scandinavian Defense
848,996,1-0,"['e4', 'd5', 'd4', 'e5', 'Nh3', 'Nc6', 'Ng5', 'Nf6', 'Nxf7', 'dxe4']",Scandinavian Defense
1021,1084,0-1,"['e4', 'd5', 'Nc3', 'd4', 'Nce2', 'e5', 'Nf3', 'Nc6', 'Ng3', 'Nf6']",Scandinavian Defense
1074,1064,0-1,"['e4', 'd5', 'e5', 'e6', 'd4', 'Nc6', 'Nf3', 'f6', 'Nc3', 'fxe5']",Scandinavian Defense
717,873,1-0,"['e4', 'd5', 'e5', 'e6', 'd4', 'Nh6', 'Nf3', 'Bd7', 'h3', 'Qe7']",Scandinavian Defense
1173,1174,1-0,"['e4', 'd5', 'd4', 'dxe4', 'Nc3', 'Bf5', 'f3', 'Nc6', 'fxe4', 'Bxe4']",Scandinavian Defense
791,834,0-1,"['e4', 'd5', 'e5', 'Bd7', 'd4', 'Qc8', 'Nc3', 'Bg4', 'Nf3', 'g5']",Scandinavian Defense
671,646,1-0,"['e4', 'd5', 'Bb5+', 'c6', 'Ba4', 'a5', 'Qf3', 'g5', 'Nh3', 'h6']",Scandinavian Defense
1080,1090,0-1,"['e4', 'd5', 'e5', 'Nc6', 'Nf3', 'd4', 'Bc4', 'Bg4', 'O-O', 'Bxf3']",Scandinavian Defense
1144,1055,1-0,"['e4', 'd5', 'Qh5', 'Nf6', 'Qe5', 'Nc6', 'Qg3', 'Nxe4', 'Qf3', 'Nd4']",Scandinavian Defense
1145,994,1-0,"['e4', 'd5', 'exd5', 'e6', 'dxe6', 'Bxe6', 'Nc3', 'c5', 'Nf3', 'Nc6']",Scandinavian Defense
1200,1177,0-1,"['e4', 'd5', 'Nc3', 'd4', 'Nb5', 'e5', 'Nf3', 'Nc6', 'd3', 'a6']",Scandinavian Defense
1128,1146,0-1,"['e4', 'd5', 'e5', 'Bf5', 'g4', 'Bg6', 'h4', 'f6', 'exf6', 'Nxf6']",Scandinavian Defense
1181,1175,1-0,"['e4', 'd5', 'Bd3', 'c6', 'Nf3', 'Nf6', 'Nc3', 'Bg4', 'exd5', 'Nxd5']",Scandinavian Defense
1021,1008,0-1,"['e4', 'd5', 'd4', 'dxe4', 'c3', 'e5', 'Bc4', 'exd4', 'Qb3', 'Be6']",Scandinavian Defense
1189,1169,0-1,"['e4', 'd5', 'Nc3', 'd4', 'Nce2', 'e5', 'Nf3', 'f6', 'd3', 'Bd6']",Scandinavian Defense
1131,1195,0-1,"['e4', 'd5', 'e5', 'Nc6', 'Nf3', 'f6', 'd4', 'fxe5', 'dxe5', 'g6']",Scandinavian Defense
734,809,0-1,"['e4', 'd5', 'e5', 'Nc6', 'd4', 'f6', 'exf6', 'exf6', 'Qe2+', 'Qe7']",Scandinavian Defense
1142,1120,1-0,"['e4', 'd5', 'Nc3', 'dxe4', 'Nxe4', 'Bf5', 'Bd3', 'e6', 'Ng3', 'Bxd3']",Scandinavian Defense
1146,1109,1-0,"['e4', 'd5', 'd3', 'dxe4', 'Nc3', 'exd3', 'Bxd3', 'Nf6', 'Be3', 'Nc6']",Scandinavian Defense
1032,1083,1-0,"['e4', 'd5', 'e5', 'f6', 'exf6', 'Nxf6', 'Bb5+', 'Bd7', 'Bxd7+', 'Nbxd7']",Scandinavian Defense
1058,982,1-0,"['e4', 'd5', 'f3', 'dxe4', 'fxe4', 'Nf6', 'd3', 'e5', 'Nf3', 'Nc6']",Scandinavian Defense
637,811,0-1,"['e4', 'd5', 'd3', 'd4', 'c3', 'e5', 'Nf3', 'c5', 'b4', 'Nc6']",Scandinavian Defense
965,939,0-1,"['e4', 'd5', 'e5', 'Qd7', 'f4', 'Qf5', 'g3', 'Qe4+', 'Ne2', 'Qxh1']",Scandinavian Defense
1097,1090,0-1,"['e4', 'd5', 'Qh5', 'dxe4', 'Qb5+', 'Nc6', 'd3', 'exd3', 'cxd3', 'e6']",Scandinavian Defense
921,901,1-0,"['e4', 'd5', 'exd5', 'e6', 'Nc3', 'Nf6', 'dxe6', 'Bxe6', 'Nf3', 'Bc5']",Scandinavian Defense
1070,1146,1-0,"['e4', 'd5', 'Nc3', 'd4', 'Nce2', 'e5', 'Nf3', 'Bg4', 'h3', 'Bxf3']",Scandinavian Defense
986,1009,0-1,"['e4', 'd5', 'e5', 'e6', 'd4', 'c5', 'Nf3', 'cxd4', 'Qxd4', 'Nc6']",Scandinavian Defense
842,878,1-0,"['e4', 'd5', 'd4', 'dxe4', 'Nc3', 'e5', 'f3', 'exd4', 'Nxe4', 'd3']",Scandinavian Defense
1040,1091,1-0,"['e4', 'd5', 'Nc3', 'Nc6', 'exd5', 'Nb4', 'b3', 'Bf5', 'Bb2', 'Nxc2+']",Scandinavian Defense
688,605,0-1,"['e4', 'd5', 'Bb5+', 'Bd7', 'Bxd7+', 'Kxd7', 'd3', 'dxe4', 'Nf3', 'Ke6']",Scandinavian Defense
951,986,0-1,"['e4', 'd5', 'e5', 'c5', 'Nf3', 'Nc6', 'Bb5', 'a6', 'Ba4', 'b5']",Scandinavian Defense
1063,1031,1-0,"['e4', 'd5', 'Nc3', 'e5', 'Nxd5', 'Bc5', 'd3', 'f5', 'f4', 'fxe4']",Scandinavian Defense
902,799,1-0,"['e4', 'd5', 'e5', 'e6', 'd4', 'Nc6', 'Nf3', 'f6', 'Nc3', 'fxe5']",Scandinavian Defense
921,792,0-1,"['e4', 'd5', 'd3', 'd4', 'c3', 'e5', 'Nf3', 'Nc6', 'Bg5', 'f6']",Scandinavian Defense
1167,1138,1-0,"['e4', 'd5', 'e5', 'Bf5', 'Nf3', 'c5', 'd3', 'h6', 'Bf4', 'd4']",Scandinavian Defense
1038,1042,0-1,"['e4', 'd5', 'e5', 'Nc6', 'Nf3', 'f6', 'exf6', 'Nxf6', 'Bb5', 'Bd7']",Scandinavian Defense
1076,1077,0-1,"['e4', 'd5', 'e5', 'f6', 'd4', 'Nc6', 'Nf3', 'fxe5', 'dxe5', 'Bg4']",Scandinavian Defense
892,902,1-0,"['e4', 'd5', 'Nc3', 'd4', 'Nb5', 'e5', 'f4', 'Nc6', 'Nf3', 'f6']",Scandinavian Defense
1099,1115,1-0,"['e4', 'd5', 'Nc3', 'c6', 'Nf3', 'dxe4', 'Nxe4', 'f5', 'Nc5', 'Na6']",Scandinavian Defense
1092,1141,0-1,"['e4', 'd5', 'e5', 'Nc6', 'Nf3', 'd4', 'd3', 'Bg4', 'Qe2', 'e6']",Scandinavian Defense
938,980,0-1,"['e4', 'd5', 'Qf3', 'd4', 'Bc4', 'e6', 'Nh3', 'Bd6', 'Ng5', 'Qxg5']",Scandinavian Defense
971,1030,0-1,"['e4', 'd5', 'e5', 'Bf5', 'Bb5+', 'c6', 'Ba4', 'b5', 'Bb3', 'a5']",Scandinavian Defense
964,1182,0-1,"['e4', 'd5', 'Qh5', 'dxe4', 'f4', 'Nf6', 'Qe5', 'Ng4', 'Qxe4', 'e5']",Scandinavian Defense
894,907,0-1,"['e4', 'd5', 'Nc3', 'dxe4', 'f3', 'Nf6', 'Nge2', 'exf3', 'gxf3', 'Bf5']",Scandinavian Defense
835,694,0-1,"['e4', 'd5', 'Nc3', 'd4', 'Nd5', 'e6', 'Nf4', 'Qd6', 'g3', 'Nc6']",Scandinavian Defense
1000,969,1-0,"['e4', 'd5', 'e5', 'f6', 'd4', 'fxe5', 'dxe5', 'Nc6', 'Nf3', 'Bg4']",Scandinavian Defense
996,1108,0-1,"['e4', 'd5', 'e5', 'Bf5', 'd4', 'e6', 'Bf4', 'Bb4+', 'c3', 'Ba5']",Scandinavian Defense
981,1090,0-1,"['e4', 'd5', 'e5', 'g6', 'd4', 'Bg7', 'Nf3', 'Bd7', 'Nc3', 'Nc6']",Scandinavian Defense
860,828,0-1,"['e4', 'd5', 'Nc3', 'd4', 'Bc4', 'dxc3', 'dxc3', 'e5', 'Qh5', 'Qe7']",Scandinavian Defense
1115,1100,0-1,"['e4', 'd5', 'e5', 'Nc6', 'Nf3', 'e6', 'Nc3', 'd4', 'Nb5', 'a6']",Scandinavian Defense
884,839,1-0,"['e4', 'd5', 'Nc3', 'dxe4', 'Nxe4', 'Bd7', 'd4', 'Qc8', 'Nf3', 'Bg4']",Scandinavian Defense
1149,1050,0-1,"['e4', 'd5', 'exd5', 'e6', 'Nc3', 'exd5', 'd4', 'Be6', 'Nf3', 'Bd6']",Scandinavian Defense
1068,1052,1-0,"['e4', 'd5', 'd4', 'dxe4', 'Qe2', 'Qd5', 'c3', 'b5', 'g3', 'Ba6']",Scandinavian Defense
1069,1055,1-0,"['e4', 'd5', 'd3', 'dxe4', 'dxe4', 'Nf6', 'Bd3', 'Bg4', 'f3', 'Bh5']",Scandinavian Defense
1110,1182,0-1,"['e4', 'd5', 'e5', 'c5', 'f4', 'Bf5', 'a3', 'Nc6', 'Nc3', 'e6']",Scandinavian Defense
