move_number,move,bracket
1,e4,Low Elo
2,d5,Low Elo
3,exd5,Low Elo
4,Qxd5,Low Elo
5,Nc3,Low Elo
6,Qd8,Low Elo
7,d4,Low Elo
8,Nf6,Low Elo
9,Nf3,Low Elo
10,e6,Low Elo
