WhiteElo,BlackElo,Result,Moves,OpeningName
1931,1929,1-0,"['e4', 'g6', 'Bc4', 'Bg7', 'Qf3', 'Nf6', 'd3', 'e5', 'h3', 'Nc6']",Modern Defense
2737,2729,1-0,"['e4', 'g6', 'Nf3', 'Bg7', 'd4', 'd6', 'Bd3', 'c6', 'h3', 'Nf6']",Modern Defense
2059,2072,0-1,"['e4', 'g6', 'Nc3', 'Bg7', 'd4', 'd6', 'f4', 'a6', 'Nf3', 'b5']",Modern Defense
2036,2038,0-1,"['e4', 'g6', 'd4', 'Bg7', 'Nf3', 'd6', 'Nc3', 'Nf6', 'Be3', 'O-O']",Modern Defense
1833,1829,1-0,"['e4', 'g6', 'd4', 'Bg7', 'Nf3', 'd6', 'Be3', 'Nc6', 'c3', 'e5']",Modern Defense
1896,1933,1-0,"['e4', 'g6', 'Nf3', 'Bg7', 'd4', 'Nf6', 'e5', 'Nd5', 'Bc4', 'c6']",Modern Defense
2016,2072,0-1,"['e4', 'g6', 'Nc3', 'Bg7', 'd4', 'b6', 'Be3', 'Bb7', 'f3', 'e6']",Modern Defense
2152,2132,1-0,"['e4', 'g6', 'Nc3', 'Bg7', 'd4', 'd6', 'Be3', 'Nf6', 'f3', 'O-O']",Modern Defense
2067,2071,0-1,"['e4', 'g6', 'Nc3', 'Bg7', 'Bc4', 'c6', 'Qf3', 'd6', 'Qxf7+', 'Kd7']",Modern Defense
1969,1936,1-0,"['e4', 'g6', 'f4', 'Bg7', 'Nf3', 'd6', 'Nc3', 'Nf6', 'e5', 'dxe5']",Modern Defense
2013,1942,1-0,"['e4', 'g6', 'Nc3', 'Bg7', 'Nf3', 'e6', 'd4', 'Ne7', 'Be3', 'O-O']",Modern Defense
1995,1970,1-0,"['e4', 'g6', 'd4', 'Bg7', 'Be3', 'd5', 'e5', 'Nc6', 'c3', 'f6']",Modern Defense
2022,2466,0-1,"['e4', 'g6', 'Nf3', 'Bg7', 'Bc4', 'c6', 'Nc3', 'd5', 'exd5', 'cxd5']",Modern Defense
2114,2041,0-1,"['e4', 'g6', 'd4', 'd6', 'f4', 'Bg7', 'Nf3', 'c5', 'c3', 'cxd4']",Modern Defense
2005,1942,0-1,"['e4', 'g6', 'f4', 'd6', 'Nf3', 'Bg7', 'Bc4', 'Nd7', 'O-O', 'Ngf6']",Modern Defense
1829,1808,0-1,"['e4', 'g6', 'd4', 'd6', 'c4', 'Nd7', 'b4', 'b6', 'a3', 'Bg7']",Modern Defense
2254,2289,0-1,"['e4', 'g6', 'Nf3', 'Bg7', 'Bc4', 'c6', 'd4', 'd5', 'exd5', 'cxd5']",Modern Defense
2061,2069,1-0,"['e4', 'g6', 'Nf3', 'Bg7', 'd4', 'e6', 'Bc4', 'Ne7', 'e5', 'd6']",Modern Defense
2422,2368,1-0,"['e4', 'g6', 'Nc3', 'Bg7', 'Bc4', 'c5', 'Qf3', 'e6', 'Bb3', 'Ne7']",Modern Defense
2051,2396,0-1,"['e4', 'g6', 'Nc3', 'Bg7', 'Nf3', 'd6', 'd4', 'Bf6', 'Be3', 'Bg7']",Modern Defense
1812,1874,1-0,"['e4', 'g6', 'e5', 'Bg7', 'f4', 'd6', 'Nf3', 'dxe5', 'fxe5', 'Bg4']",Modern Defense
2196,2059,1-0,"['e4', 'g6', 'd4', 'Bg7', 'c4', 'c5', 'Nf3', 'cxd4', 'Nxd4', 'Nc6']",Modern Defense
2290,2363,0-1,"['e4', 'g6', 'Nf3', 'Bg7', 'd4', 'd6', 'Bd3', 'Nc6', 'c3', 'Nf6']",Modern Defense
2200,2126,1/2-1/2,"['e4', 'g6', 'Nf3', 'Bh6', 'd4', 'Bxc1', 'Qxc1', 'Kf8', 'Qf4', 'Kg7']",Modern Defense
1954,1930,1-0,"['d4', 'g6', 'c4', 'Bg7', 'Nc3', 'd6', 'Nf3', 'Nf6', 'Qc2', 'O-O']",Modern Defense
1819,1816,1-0,"['e4', 'g6', 'Nf3', 'Bg7', 'd4', 'b6', 'c3', 'Bb7', 'Bd3', 'd6']",Modern Defense
1820,1819,1-0,"['e4', 'g6', 'd4', 'Bg7', 'e5', 'e6', 'f4', 'Ne7', 'Nf3', 'c6']",Modern Defense
1903,1859,1-0,"['e4', 'g6', 'Nf3', 'Bg7', 'd4', 'd5', 'e5', 'f6', 'c3', 'fxe5']",Modern Defense
2114,2074,1-0,"['e4', 'g6', 'Bc4', 'Bg7', 'c3', 'd6', 'Nf3', 'Nf6', 'Bxf7+', 'Kxf7']",Modern Defense
1841,1849,1-0,"['e4', 'g6', 'Nf3', 'Bg7', 'd4', 'h6', 'Bc4', 'e6', 'e5', 'd5']",Modern Defense
2393,2288,0-1,"['e4', 'g6', 'd4', 'Bg7', 'c3', 'd6', 'h4', 'Nf6', 'h5', 'Nxh5']",Modern Defense
1952,1967,0-1,"['e4', 'g6', 'Nf3', 'Bg7', 'd4', 'e6', 'Nc3', 'Ne7', 'Bb5', 'c6']",Modern Defense
