move_number,move,bracket
1,e4,Low Elo
2,d5,Low Elo
3,Nc3,Low Elo
4,d4,Low Elo
5,Nb1,Low Elo
6,Nf6,Low Elo
7,e5,Low Elo
8,Nd5,Low Elo
9,c4,Low Elo
10,Nb6,Low Elo
