move_number,move,bracket
1,e4,High Elo
2,d5,High Elo
3,Nc3,High Elo
4,d4,High Elo
5,Nb1,High Elo
6,Nf6,High Elo
7,e5,High Elo
8,Nd5,High Elo
9,c4,High Elo
10,Nb6,High Elo
