move_number,move,bracket
1,e4,Low Elo
2,e5,Low Elo
3,Bc4,Low Elo
4,d6,Low Elo
5,Nf3,Low Elo
6,Nf6,Low Elo
7,Nc3,Low Elo
8,Be7,Low Elo
9,d4,Low Elo
10,exd4,Low Elo
