move_number,move,bracket
1,d4,High Elo
2,c5,High Elo
3,c3,High Elo
4,Nf6,High Elo
5,Nf3,High Elo
6,e6,High Elo
7,Bf4,High Elo
8,Nc6,High Elo
9,e3,High Elo
10,h6,High Elo
