WhiteElo,BlackElo,Result,Moves,OpeningName
823,825,0-1,"['e3', 'e5', 'Nf3', 'Nc6', 'Ng1', 'Nf6', 'Nf3', 'd6', 'Ng1', 'd5']",Van't Kruijs Opening
765,910,0-1,"['e3', 'b6', 'Nf3', 'Bb7', 'c3', 'Nc6', 'Bd3', 'f6', 'Na3', 'Nh6']",Van't Kruijs Opening
680,804,0-1,"['e3', 'd5', 'd4', 'Bf5', 'g4', 'Be4', 'f3', 'Bg6', 'Bg2', 'e6']",Van't Kruijs Opening
1147,991,1-0,"['e3', 'h5', 'd4', 'a5', 'Bd3', 'Nf6', 'Ne2', 'd5', 'O-O', 'Bg4']",Van't Kruijs Opening
1005,950,1/2-1/2,"['e3', 'c5', 'd4', 'g6', 'Nf3', 'd5', 'dxc5', 'Nf6', 'Nc3', 'Bg7']",Van't Kruijs Opening
1126,1154,1-0,"['e3', 'e6', 'b3', 'd6', 'Bb2', 'a6', 'Nc3', 'h6', 'Nce2', 'Ne7']",Van't Kruijs Opening
1046,1157,1-0,"['e3', 'e5', 'a3', 'd5', 'h3', 'Nc6', 'c4', 'dxc4', 'Bxc4', 'Nf6']",Van't Kruijs Opening
1127,1194,0-1,"['e3', 'e5', 'd4', 'd6', 'd5', 'Nf6', 'Bb5+', 'c6', 'dxc6', 'bxc6']",Van't Kruijs Opening
1053,1078,0-1,"['e3', 'd5', 'b3', 'Nc6', 'Bb2', 'e5', 'c4', 'd4', 'Nf3', 'dxe3']",Van't Kruijs Opening
886,918,0-1,"['e3', 'e5', 'd4', 'd6', 'Bb5+', 'Nc6', 'Nc3', 'Bd7', 'Bc4', 'Na5']",Van't Kruijs Opening
1163,1135,1-0,"['e3', 'b6', 'd4', 'Bb7', 'Nf3', 'Nf6', 'c4', 'e6', 'Be2', 'Ne4']",Van't Kruijs Opening
1088,1097,0-1,"['e3', 'c5', 'Bb5', 'a6', 'Bc4', 'e6', 'Nc3', 'd6', 'a3', 'Nc6']",Van't Kruijs Opening
1194,1149,0-1,"['e3', 'e5', 'c3', 'd5', 'Bb5+', 'c6', 'Be2', 'e4', 'Nh3', 'Nf6']",Van't Kruijs Opening
932,958,0-1,"['e3', 'd5', 'Ne2', 'e5', 'Ng3', 'Nc6', 'Nc3', 'Nf6', 'Qe2', 'd4']",Van't Kruijs Opening
1134,1118,0-1,"['e3', 'd5', 'd4', 'c5', 'Nf3', 'cxd4', 'Nxd4', 'Nc6', 'Nxc6', 'bxc6']",Van't Kruijs Opening
1093,1046,1-0,"['e3', 'e6', 'Be2', 'Nc6', 'd4', 'b6', 'c4', 'Ba6', 'b4', 'Bxc4']",Van't Kruijs Opening
1148,1125,0-1,"['e3', 'd5', 'Nc3', 'Nf6', 'Nf3', 'c5', 'Ne2', 'Nc6', 'd4', 'Bf5']",Van't Kruijs Opening
946,944,0-1,"['e3', 'e5', 'a3', 'e4', 'h3', 'd5', 'g4', 'c6', 'b3', 'f6']",Van't Kruijs Opening
767,655,0-1,"['e3', 'e5', 'd3', 'Nf6', 'Nc3', 'd6', 'Nf3', 'g6', 'd4', 'exd4']",Van't Kruijs Opening
918,861,0-1,"['e3', 'd5', 'h3', 'e5', 'a3', 'Nc6', 'b4', 'Nf6', 'g4', 'Bd6']",Van't Kruijs Opening
944,891,1-0,"['e3', 'd5', 'h3', 'Nf6', 'g4', 'Ne4', 'Bg2', 'g5', 'd3', 'Nf6']",Van't Kruijs Opening
823,905,0-1,"['e3', 'Nf6', 'd4', 'g6', 'c4', 'Bg7', 'Nc3', 'O-O', 'Bd3', 'h6']",Van't Kruijs Opening
832,799,1-0,"['e3', 'd5', 'Bb5+', 'c6', 'Bf1', 'Nf6', 'Qe2', 'Qa5', 'Qf3', 'Bg4']",Van't Kruijs Opening
