move_number,move,bracket
1,d4,Low Elo
2,d6,Low Elo
3,e4,Low Elo
4,Nd7,Low Elo
5,Nf3,Low Elo
6,e5,Low Elo
7,Bc4,Low Elo
8,exd4,Low Elo
9,Qxd4,Low Elo
10,Ngf6,Low Elo
