move_number,move,bracket
1,d4,High Elo
2,d6,High Elo
3,e4,High Elo
4,Nd7,High Elo
5,Nf3,High Elo
6,e5,High Elo
7,Bc4,High Elo
8,exd4,High Elo
9,Qxd4,High Elo
10,Ngf6,High Elo
