move_number,move,bracket
1,e4,Low Elo
2,c6,Low Elo
3,Nf3,Low Elo
4,d5,Low Elo
5,e5,Low Elo
6,Bg4,Low Elo
7,Be2,Low Elo
8,e6,Low Elo
9,O-O,Low Elo
10,Ne7,Low Elo
