move_number,move,bracket
1,e4,High Elo
2,c6,High Elo
3,Nf3,High Elo
4,d5,High Elo
5,e5,High Elo
6,Bg4,High Elo
7,Be2,High Elo
8,e6,High Elo
9,O-O,High Elo
10,Ne7,High Elo
