WhiteElo,BlackElo,Result,Moves,OpeningName
2049,2070,0-1,"['e4', 'd6', 'Nf3', 'g6', 'd4', 'Bg7', 'Nc3', 'Nc6', 'Bg5', 'Bg4']",Pirc Defense
2689,2663,1-0,"['e4', 'd6', 'd4', 'g6', 'Nc3', 'Bg7', 'Be3', 'a6', 'Qd2', 'b5']",Pirc Defense
1978,1979,1-0,"['e4', 'd6', 'Nf3', 'Nd7', 'd4', 'c5', 'Bc4', 'cxd4', 'Nxd4', 'e5']",Pirc Defense
2173,2140,1-0,"['e4', 'd6', 'd4', 'Nf6', 'Bd3', 'g6', 'Nf3', 'Bg7', 'c3', 'O-O']",Pirc Defense
1918,1926,0-1,"['e4', 'd6', 'd4', 'g6', 'Nf3', 'Bg7', 'Nc3', 'e6', 'Be3', 'Ne7']",Pirc Defense
2238,2192,1-0,"['e4', 'd6', 'd4', 'e6', 'Nc3', 'Be7', 'Bd3', 'Nf6', 'Nf3', 'Nfd7']",Pirc Defense
2057,1999,1-0,"['e4', 'd6', 'Nf3', 'Nf6', 'd3', 'e5', 'Be2', 'Be7', 'c3', 'Bg4']",Pirc Defense
2133,2043,0-1,"['e4', 'd6', 'Nc3', 'c6', 'd4', 'Nf6', 'Be3', 'g5', 'Bd3', 'g4']",Pirc Defense
1930,1953,1-0,"['e4', 'd6', 'Nf3', 'g6', 'Be2', 'Bg7', 'O-O', 'a6', 'd4', 'b5']",Pirc Defense
2074,2022,1-0,"['e4', 'd6', 'd4', 'Nf6', 'Nc3', 'Nbd7', 'Be3', 'c6', 'f3', 'e5']",Pirc Defense
2117,2094,1/2-1/2,"['e4', 'd6', 'd4', 'Nf6', 'Nc3', 'Nbd7', 'Bd3', 'e5', 'Nf3', 'Be7']",Pirc Defense
1877,1869,0-1,"['e4', 'd6', 'Nf3', 'e5', 'd4', 'f5', 'dxe5', 'Nc6', 'exd6', 'Bxd6']",Pirc Defense
2044,2077,1-0,"['e4', 'd6', 'Nf3', 'Nc6', 'd4', 'Nf6', 'c4', 'g6', 'Bd3', 'Bg7']",Pirc Defense
2336,2244,1-0,"['e4', 'd6', 'Nf3', 'e5', 'Nc3', 'Be7', 'd4', 'exd4', 'Nxd4', 'Nf6']",Pirc Defense
2274,2349,0-1,"['e4', 'd6', 'Nf3', 'Nf6', 'd3', 'c6', 'g3', 'g6', 'Bg2', 'Bg7']",Pirc Defense
1818,1810,0-1,"['e4', 'd6', 'd4', 'g6', 'f4', 'Bg7', 'Nf3', 'c5', 'Bc4', 'cxd4']",Pirc Defense
2186,2128,1-0,"['e4', 'd6', 'Nf3', 'Nf6', 'e5', 'dxe5', 'Nxe5', 'Nbd7', 'Nxd7', 'Bxd7']",Pirc Defense
2220,2210,1-0,"['e4', 'd6', 'd4', 'g6', 'Be3', 'Bg7', 'Qd2', 'c5', 'c3', 'cxd4']",Pirc Defense
2019,2028,0-1,"['e4', 'd6', 'Nf3', 'Nf6', 'e5', 'dxe5', 'Nxe5', 'Nc6', 'Nxc6', 'bxc6']",Pirc Defense
1853,1843,0-1,"['e4', 'd6', 'c4', 'e6', 'd4', 'Be7', 'Nc3', 'Nd7', 'Nf3', 'b6']",Pirc Defense
1984,1942,1-0,"['e4', 'd6', 'd4', 'c6', 'Nf3', 'Nd7', 'Bc4', 'e5', 'O-O', 'Be7']",Pirc Defense
1926,1940,1-0,"['e4', 'd6', 'Nf3', 'Nf6', 'd3', 'g6', 'Bg5', 'Bg7', 'Qd2', 'O-O']",Pirc Defense
1976,1960,1-0,"['e4', 'd6', 'b3', 'Nf6', 'Nc3', 'g6', 'Bb2', 'Bg7', 'Nf3', 'Nxe4']",Pirc Defense
2084,2125,0-1,"['e4', 'd6', 'Bc4', 'e5', 'Nc3', 'Nf6', 'd3', 'Be7', 'Nge2', 'O-O']",Pirc Defense
