move_number,move,bracket
1,e4,High Elo
2,d6,High Elo
3,Nf3,High Elo
4,g6,High Elo
5,d4,High Elo
6,Bg7,High Elo
7,Nc3,High Elo
8,Nf6,High Elo
9,Be3,High Elo
10,O-O,High Elo
