move_number,move,bracket
1,e4,Low Elo
2,d6,Low Elo
3,Nf3,Low Elo
4,g6,Low Elo
5,d4,Low Elo
6,Bg7,Low Elo
7,Nc3,Low Elo
8,Nf6,Low Elo
9,Be3,Low Elo
10,O-O,Low Elo
